account_id,customer_id,product_id,agent_id,total_balance,overdue_balance,dpd,aging_bucket,assignment_date,status,target_amount
ACC00001,C0042,P005,A005,37283.97,28335.95,63,61-90,2024-03-06,Write-off Candidate,7920.73
ACC00002,C0311,P001,A004,38203.18,20230.65,19,1-30,2024-04-10,Promise to Pay,13531.22
ACC00003,C0327,P001,A004,4627.62,1284.89,45,31-60,2025-07-09,Promise to Pay,718.22
ACC00004,C0308,P005,A001,45296.95,33881.36,88,61-90,2025-03-29,Legal,10736.3
ACC00005,C0826,P005,A008,37850.73,24270.6,153,121+,2025-05-19,Promise to Pay,9639.89
ACC00006,C0495,P005,A005,13577.9,7861.21,159,121+,2024-12-15,Active,4219.57
ACC00007,C0317,P004,A002,24635.23,9540.9,144,121+,2025-06-05,Active,2842.03
ACC00008,C0068,P004,A005,22438.32,15125.55,28,1-30,2025-07-05,Legal,4782.05
ACC00009,C0112,P002,A004,16340.79,9434.51,40,31-60,2024-04-15,Promise to Pay,7137.5
ACC00010,C0216,P005,A003,38436.67,31027.23,37,31-60,2024-06-10,Promise to Pay,9130.68
ACC00011,C0980,P005,A008,21137.0,15933.52,86,61-90,2024-08-22,Write-off Candidate,7698.9
ACC00012,C0877,P003,A006,36472.13,30866.66,11,1-30,2024-11-18,Active,14049.85
ACC00013,C0403,P004,A001,3237.72,1514.96,103,91-120,2024-05-23,Write-off Candidate,1000.22
ACC00014,C0020,P002,A004,15092.45,6582.24,69,61-90,2024-11-25,Active,2826.7
ACC00015,C0572,P005,A004,25395.7,22113.64,110,91-120,2024-04-19,Active,6551.18
ACC00016,C0741,P004,A010,39170.78,17668.24,32,31-60,2025-05-13,Active,13996.03
ACC00017,C0601,P004,A001,17463.25,10200.39,21,1-30,2025-03-24,Write-off Candidate,2719.61
ACC00018,C0138,P001,A006,41303.38,36617.74,173,121+,2024-11-02,Promise to Pay,19667.46
ACC00019,C0449,P002,A006,33204.19,19955.95,85,61-90,2024-10-25,Promise to Pay,5673.09
ACC00020,C0789,P001,A006,45302.62,22708.23,167,121+,2024-08-07,Active,10922.56
ACC00021,C0472,P003,A006,13321.78,8569.3,23,1-30,2024-01-24,Active,5015.99
ACC00022,C0438,P004,A008,26655.67,24568.1,117,91-120,2025-06-08,Active,13252.74
ACC00023,C0033,P005,A006,14491.0,5801.87,106,91-120,2024-03-09,Promise to Pay,3128.28
