call_id,account_id,agent_id,call_date,call_hour,day_of_week,day_name,call_result,duration_seconds
CALL0000001,ACC00001,A005,2025-01-13,11,3,Wednesday,Voicemail,5
CALL0000002,ACC00001,A006,2025-03-28,18,7,Sunday,Wrong Number,13
CALL0000003,ACC00002,A010,2024-12-12,11,4,Thursday,Wrong Number,4
CALL0000004,ACC00002,A007,2025-07-18,19,5,Friday,Contacted,237
CALL0000005,ACC00002,A002,2025-05-20,19,1,Monday,Contacted,516
CALL0000006,ACC00003,A009,2025-04-13,19,5,Friday,Busy,23
CALL0000007,ACC00004,A007,2024-11-27,12,7,Sunday,Voicemail,16
CALL0000008,ACC00004,A009,2024-09-09,17,1,Monday,Wrong Number,23
CALL0000009,ACC00004,A002,2024-05-30,12,3,Wednesday,No Answer,13
CALL0000010,ACC00004,A009,2024-12-28,19,5,Friday,No Answer,12
CALL0000011,ACC00005,A003,2025-04-17,9,2,Tuesday,Busy,15
CALL0000012,ACC00005,A002,2025-01-23,9,5,Friday,No Answer,30
CALL0000013,ACC00005,A003,2024-10-07,16,3,Wednesday,No Answer,17
CALL0000014,ACC00006,A004,2024-10-08,16,1,Monday,Voicemail,12
CALL0000015,ACC00006,A006,2025-08-29,18,5,Friday,Contacted,218
CALL0000016,ACC00007,A005,2024-05-27,18,7,Sunday,Wrong Number,26
CALL0000017,ACC00007,A003,2024-12-18,18,2,Tuesday,No Answer,14
CALL0000018,ACC00007,A007,2025-08-22,19,4,Thursday,No Answer,6
CALL0000019,ACC00008,A007,2024-09-25,15,5,Friday,No Answer,5
CALL0000020,ACC00008,A008,2025-01-27,18,4,Thursday,Contacted,449
CALL0000021,ACC00008,A004,2025-11-19,8,5,Friday,Busy,10
CALL0000022,ACC00008,A010,2025-09-06,10,1,Monday,Busy,11
CALL0000023,ACC00010,A004,2024-09-09,16,2,Tuesday,No Answer,6
CALL0000024,ACC00010,A008,2024-08-25,12,2,Tuesday,Wrong Number,26
CALL0000025,ACC00011,A010,2024-07-29,20,2,Tuesday,Voicemail,1
CALL0000026,ACC00011,A007,2025-07-12,18,2,Tuesday,No Answer,27
CALL0000027,ACC00011,A007,2025-05-20,16,1,Monday,No Answer,3
CALL0000028,ACC00013,A001,2025-11-01,17,4,Thursday,Contacted,55
CALL0000029,ACC00013,A009,2024-11-15,17,6,Saturday,No Answer,4
CALL0000030,ACC00014,A002,2025-03-03,19,6,Saturday,No Answer,23
CALL0000031,ACC00014,A005,2025-09-27,16,2,Tuesday,Contacted,235
CALL0000032,ACC00014,A003,2025-05-28,19,7,Sunday,Voicemail,28
CALL0000033,ACC00015,A010,2024-08-02,13,1,Monday,Contacted,519
CALL0000034,ACC00015,A009,2025-11-18,9,6,Saturday,No Answer,6
CALL0000035,ACC00015,A008,2025-01-26,9,3,Wednesday,No Answer,25
CALL0000036,ACC00015,A001,2024-04-28,11,1,Monday,Voicemail,29
CALL0000037,ACC00015,A009,2024-05-18,12,3,Wednesday,Busy,29
CALL0000038,ACC00016,A008,2025-11-01,9,1,Monday,Contacted,576
CALL0000039,ACC00016,A010,2025-10-09,12,1,Monday,No Answer,24
CALL0000040,ACC00016,A005,2024-08-06,20,3,Wednesday,Wrong Number,12
CALL0000041,ACC00017,A008,2024-07-11,16,2,Tuesday,No Answer,1
CALL0000042,ACC00017,A010,2024-11-04,17,1,Monday,No Answer,25
CALL0000043,ACC00017,A001,2024-10-20,10,4,Thursday,Contacted,320
CALL0000044,ACC00017,A001,2024-03-18,17,1,Monday,Contacted,369
CALL0000045,ACC00018,A009,2025-11-10,15,4,Thursday,Contacted,446
CALL0000046,ACC00018,A008,2024-09-16,18,3,Wednesday,Busy,24
CALL0000047,ACC00019,A008,2024-03-17,8,4,Thursday,No Answer,29
CALL0000048,ACC00019,A006,2025-08-20,16,5,Friday,Contacted,568
CALL0000049,ACC00019,A001,2025-03-12,14,2,Tuesday,Busy,1
CALL0000050,ACC00020,A007,2025-08-28,20,5,Friday,Wrong Number,11
CALL0000051,ACC00020,A003,2024-08-01,13,5,Friday,Busy,27
CALL0000052,ACC00021,A007,2024-03-29,15,3,Wednesday,Contacted,400
CALL0000053,ACC00021,A001,2025-01-10,8,3,Wednesday,Contacted,53
CALL0000054,ACC00022,A009,2025-10-31,19,1,Monday,Contacted,417
CALL0000055,ACC00023,A002,2025-03-07,19,2,Tuesday,Wrong Number,24
CALL0000056,ACC00023,A010,2024-01-06,8,4,Thursday,Wrong Number,17
CALL0000057,ACC00023,A003,2024-03-01,17,7,Sunday,No Answer,15
CALL0000058,ACC00024,A006,2024-01-08,15,2,Tuesday,No Answer,3
CALL0000059,ACC00024,A009,2025-11-06,10,2,Tuesday,Busy,5
CALL0000060,ACC00025,A010,2024-01-14,16,3,Wednesday,Busy,11
CALL0000061,ACC00026,A005,2024-10-31,8,2,Tuesday,Contacted,597
CALL0000062,ACC00026,A002,2025-04-08,16,1,Monday,Contacted,134
CALL0000063,ACC00026,A006,2024-09-09,13,1,Monday,Voicemail,6
CALL0000064,ACC00027,A001,2025-03-29,20,2,Tuesday,Busy,29
CALL0000065,ACC00027,A008,2025-03-23,12,4,Thursday,Voicemail,30
CALL0000066,ACC00027,A003,2025-07-23,20,4,Thursday,Busy,0
CALL0000067,ACC00027,A005,2025-07-07,8,1,Monday,No Answer,19
CALL0000068,ACC00027,A009,2024-12-03,11,1,Monday,Busy,25
CALL0000069,ACC00028,A008,2024-04-07,20,2,Tuesday,Wrong Number,25
CALL0000070,ACC00028,A009,2024-10-21,18,4,Thursday,Busy,2
CALL0000071,ACC00028,A006,2025-11-21,16,4,Thursday,Contacted,257
CALL0000072,ACC00029,A009,2025-07-26,17,7,Sunday,Busy,14
CALL0000073,ACC00029,A005,2025-08-22,18,5,Friday,Contacted,485
CALL0000074,ACC00030,A006,2024-09-02,18,3,Wednesday,Voicemail,26
CALL0000075,ACC00030,A010,2025-07-19,13,3,Wednesday,Voicemail,18
CALL0000076,ACC00030,A001,2024-11-09,17,1,Monday,Busy,18
CALL0000077,ACC00030,A003,2025-03-05,16,3,Wednesday,Voicemail,11
CALL0000078,ACC00031,A007,2025-07-10,15,3,Wednesday,Wrong Number,10
CALL0000079,ACC00031,A001,2025-04-15,11,3,Wednesday,Contacted,484
CALL0000080,ACC00032,A009,2024-11-21,10,3,Wednesday,Wrong Number,21
CALL0000081,ACC00033,A009,2025-08-24,19,1,Monday,Contacted,50
CALL0000082,ACC00034,A005,2025-05-05,18,4,Thursday,Contacted,437
CALL0000083,ACC00034,A001,2024-10-02,12,5,Friday,Busy,10
CALL0000084,ACC00035,A005,2025-11-22,11,5,Friday,Busy,6
CALL0000085,ACC00035,A005,2025-06-08,8,1,Monday,Contacted,159
CALL0000086,ACC00036,A009,2024-12-04,13,7,Sunday,No Answer,10
CALL0000087,ACC00037,A008,2025-04-14,12,7,Sunday,Wrong Number,5
CALL0000088,ACC00037,A008,2025-07-30,18,1,Monday,Contacted,407
CALL0000089,ACC00038,A003,2024-08-06,11,1,Monday,Voicemail,11
CALL0000090,ACC00039,A001,2024-03-25,13,4,Thursday,Wrong Number,7
CALL0000091,ACC00039,A010,2024-10-13,8,6,Saturday,Wrong Number,5
CALL0000092,ACC00039,A003,2025-09-06,9,2,Tuesday,Busy,19
CALL0000093,ACC00039,A002,2024-05-14,8,1,Monday,Busy,28
CALL0000094,ACC00040,A001,2024-09-03,16,6,Saturday,Busy,15
CALL0000095,ACC00040,A002,2025-02-09,11,1,Monday,No Answer,6
CALL0000096,ACC00041,A003,2025-08-23,10,1,Monday,Voicemail,0
CALL0000097,ACC00041,A004,2024-06-03,9,1,Monday,No Answer,18
CALL0000098,ACC00041,A002,2025-10-20,11,3,Wednesday,Contacted,528
CALL0000099,ACC00041,A007,2025-09-10,9,1,Monday,Contacted,379
CALL0000100,ACC00042,A008,2024-05-29,11,3,Wednesday,Voicemail,22
CALL0000101,ACC00043,A010,2025-01-12,13,4,Thursday,Contacted,490
CALL0000102,ACC00044,A004,2024-05-26,11,2,Tuesday,Busy,4
CALL0000103,ACC00044,A006,2024-03-25,20,4,Thursday,No Answer,9
CALL0000104,ACC00044,A002,2025-01-20,12,5,Friday,Wrong Number,0
CALL0000105,ACC00044,A002,2025-09-21,12,5,Friday,Contacted,136
CALL0000106,ACC00044,A001,2025-11-17,15,4,Thursday,Wrong Number,10
CALL0000107,ACC00045,A010,2025-11-05,15,6,Saturday,Busy,0
CALL0000108,ACC00045,A001,2024-06-12,16,5,Friday,Wrong Number,17
CALL0000109,ACC00046,A002,2024-03-16,18,4,Thursday,Contacted,281
CALL0000110,ACC00046,A007,2025-11-22,10,3,Wednesday,Wrong Number,0
CALL0000111,ACC00047,A004,2025-05-04,17,2,Tuesday,Contacted,184
CALL0000112,ACC00047,A003,2025-12-01,15,4,Thursday,No Answer,27
CALL0000113,ACC00047,A006,2025-01-22,18,4,Thursday,Contacted,554
CALL0000114,ACC00048,A004,2025-05-24,9,2,Tuesday,Contacted,349
CALL0000115,ACC00048,A004,2024-01-23,8,7,Sunday,Voicemail,24
CALL0000116,ACC00049,A003,2025-07-04,16,5,Friday,No Answer,6
CALL0000117,ACC00049,A010,2024-09-22,15,4,Thursday,Wrong Number,12
CALL0000118,ACC00049,A008,2024-08-01,10,3,Wednesday,Voicemail,3
CALL0000119,ACC00050,A006,2024-07-25,18,4,Thursday,Contacted,103
CALL0000120,ACC00050,A001,2024-08-03,19,1,Monday,Contacted,311
CALL0000121,ACC00050,A003,2025-02-01,18,2,Tuesday,Contacted,329
CALL0000122,ACC00051,A005,2024-08-13,19,3,Wednesday,Wrong Number,5
CALL0000123,ACC00051,A006,2024-11-19,20,2,Tuesday,Busy,15
CALL0000124,ACC00052,A009,2024-11-17,20,3,Wednesday,Wrong Number,8
CALL0000125,ACC00052,A010,2025-03-27,15,4,Thursday,Contacted,315
CALL0000126,ACC00052,A003,2024-10-21,17,6,Saturday,Contacted,446
CALL0000127,ACC00053,A006,2025-02-27,16,7,Sunday,Wrong Number,17
CALL0000128,ACC00053,A008,2024-04-22,10,5,Friday,Busy,24
CALL0000129,ACC00054,A008,2025-05-19,11,7,Sunday,No Answer,19
CALL0000130,ACC00054,A003,2025-08-21,18,2,Tuesday,Busy,2
CALL0000131,ACC00054,A001,2025-08-12,10,3,Wednesday,Voicemail,28
CALL0000132,ACC00054,A001,2024-07-09,10,2,Tuesday,Wrong Number,17
CALL0000133,ACC00055,A002,2024-12-19,20,5,Friday,Busy,11
CALL0000134,ACC00055,A010,2025-06-16,12,4,Thursday,Busy,7
CALL0000135,ACC00056,A004,2024-04-05,12,4,Thursday,Busy,24
CALL0000136,ACC00056,A010,2024-07-16,15,5,Friday,Contacted,87
CALL0000137,ACC00057,A008,2024-10-03,12,5,Friday,Wrong Number,24
CALL0000138,ACC00057,A009,2024-01-13,14,3,Wednesday,Contacted,173
CALL0000139,ACC00057,A001,2025-03-12,11,1,Monday,Busy,0
CALL0000140,ACC00058,A005,2025-11-23,16,4,Thursday,Contacted,427
CALL0000141,ACC00058,A010,2025-07-10,11,7,Sunday,Wrong Number,21
CALL0000142,ACC00058,A010,2025-01-25,8,5,Friday,Contacted,583
CALL0000143,ACC00058,A007,2025-02-19,15,5,Friday,Contacted,241
CALL0000144,ACC00060,A009,2025-11-24,12,6,Saturday,Busy,0
CALL0000145,ACC00060,A004,2025-01-14,19,2,Tuesday,No Answer,3
CALL0000146,ACC00061,A001,2025-09-28,14,6,Saturday,Busy,11
CALL0000147,ACC00062,A006,2024-01-01,9,6,Saturday,No Answer,15
CALL0000148,ACC00062,A009,2025-06-27,17,6,Saturday,No Answer,6
CALL0000149,ACC00062,A002,2025-06-05,16,5,Friday,Voicemail,8
CALL0000150,ACC00062,A007,2024-03-03,12,2,Tuesday,Contacted,445
CALL0000151,ACC00063,A009,2024-12-14,9,2,Tuesday,No Answer,8
CALL0000152,ACC00063,A001,2025-10-23,11,2,Tuesday,Contacted,547
CALL0000153,ACC00063,A009,2024-07-20,9,4,Thursday,Contacted,442
CALL0000154,ACC00063,A005,2024-11-21,14,3,Wednesday,Wrong Number,17
CALL0000155,ACC00065,A010,2025-09-14,8,6,Saturday,No Answer,12
CALL0000156,ACC00065,A007,2025-06-23,17,4,Thursday,Contacted,135
CALL0000157,ACC00065,A002,2024-04-05,10,4,Thursday,Wrong Number,3
CALL0000158,ACC00065,A009,2025-08-05,16,6,Saturday,Voicemail,18
CALL0000159,ACC00065,A006,2024-07-25,17,2,Tuesday,Contacted,72
CALL0000160,ACC00066,A009,2024-12-06,20,4,Thursday,Voicemail,11
CALL0000161,ACC00066,A009,2024-03-09,16,3,Wednesday,Contacted,183
CALL0000162,ACC00066,A003,2025-01-13,11,7,Sunday,Busy,9
CALL0000163,ACC00066,A009,2025-02-01,14,1,Monday,Wrong Number,10
CALL0000164,ACC00068,A004,2025-07-06,18,6,Saturday,Wrong Number,19
CALL0000165,ACC00068,A006,2024-01-05,18,5,Friday,Contacted,557
CALL0000166,ACC00068,A007,2024-07-28,10,6,Saturday,Contacted,423
CALL0000167,ACC00069,A006,2025-10-24,11,2,Tuesday,No Answer,5
