payment_id,account_id,payment_date,amount,payment_method_id,payment_status
PAY000001,ACC00001,2025-07-09,712.42,PM01,Failed
PAY000002,ACC00002,2025-08-09,2983.02,PM03,Completed
PAY000003,ACC00004,2025-02-24,1622.84,PM01,Completed
PAY000004,ACC00005,2025-08-18,2343.2,PM02,Completed
PAY000005,ACC00005,2024-06-06,3130.99,PM03,Completed
PAY000006,ACC00006,2024-07-03,1709.36,PM01,Completed
PAY000007,ACC00007,2025-06-10,1731.23,PM01,Completed
PAY000008,ACC00009,2024-08-16,250.22,PM03,Completed
PAY000009,ACC00009,2024-10-06,1161.03,PM02,Failed
PAY000010,ACC00010,2024-03-06,4259.99,PM04,Completed
PAY000011,ACC00010,2024-04-06,427.53,PM05,Completed
PAY000012,ACC00011,2025-06-07,3570.58,PM03,Failed
PAY000013,ACC00011,2025-07-05,2114.92,PM01,Completed
PAY000014,ACC00012,2025-02-15,3829.7,PM02,Completed
PAY000015,ACC00014,2025-07-23,4944.67,PM02,Completed
PAY000016,ACC00015,2025-11-20,929.42,PM01,Completed
PAY000017,ACC00015,2025-05-29,3209.49,PM05,Completed
PAY000018,ACC00016,2024-11-17,4800.83,PM02,Completed
PAY000019,ACC00017,2024-10-15,1588.42,PM05,Completed
PAY000020,ACC00018,2025-09-02,1516.16,PM02,Completed
PAY000021,ACC00018,2024-07-03,4654.3,PM01,Completed
PAY000022,ACC00019,2024-07-02,1562.91,PM01,Completed
PAY000023,ACC00019,2024-03-06,1302.03,PM01,Completed
PAY000024,ACC00020,2024-04-25,2579.85,PM02,Completed
PAY000025,ACC00021,2024-04-24,2260.24,PM01,Failed
PAY000026,ACC00021,2025-02-20,3084.18,PM02,Completed
PAY000027,ACC00022,2025-06-23,3506.63,PM01,Completed
PAY000028,ACC00024,2024-02-28,2078.62,PM01,Completed
PAY000029,ACC00025,2024-06-21,1771.79,PM03,Completed
PAY000030,ACC00025,2024-07-20,1007.29,PM03,Completed
PAY000031,ACC00026,2024-04-08,1666.86,PM01,Completed
PAY000032,ACC00028,2025-06-26,59.46,PM04,Completed
PAY000033,ACC00029,2024-06-14,3098.93,PM05,Failed
PAY000034,ACC00030,2025-08-01,2282.95,PM04,Completed
PAY000035,ACC00031,2025-03-18,2208.93,PM01,Completed
PAY000036,ACC00032,2024-08-20,4453.2,PM01,Completed
PAY000037,ACC00033,2025-05-28,3958.54,PM03,Completed
PAY000038,ACC00033,2024-07-27,4505.64,PM01,Completed
PAY000039,ACC00035,2024-04-26,4569.6,PM04,Reversed
PAY000040,ACC00036,2025-02-16,1276.77,PM01,Completed
PAY000041,ACC00036,2025-07-19,54.06,PM02,Completed
PAY000042,ACC00039,2024-06-09,3063.43,PM01,Completed
PAY000043,ACC00041,2025-06-04,4493.67,PM03,Completed
PAY000044,ACC00042,2025-09-06,2410.51,PM03,Completed
PAY000045,ACC00043,2024-01-21,2490.39,PM02,Failed
PAY000046,ACC00043,2024-04-07,3164.29,PM03,Completed
PAY000047,ACC00044,2025-08-18,4674.95,PM01,Completed
PAY000048,ACC00045,2025-10-31,421.55,PM04,Completed
PAY000049,ACC00047,2025-02-23,3489.23,PM01,Failed
PAY000050,ACC00048,2025-08-30,3234.09,PM02,Failed
PAY000051,ACC00049,2024-11-02,3685.4,PM02,Completed
PAY000052,ACC00051,2024-06-03,3494.86,PM03,Completed
PAY000053,ACC00051,2025-02-12,3077.6,PM02,Completed
PAY000054,ACC00052,2024-04-06,1574.84,PM01,Completed
PAY000055,ACC00053,2025-08-02,1664.44,PM04,Completed
PAY000056,ACC00054,2025-11-18,3831.78,PM02,Completed
PAY000057,ACC00055,2024-05-19,2253.01,PM02,Completed
PAY000058,ACC00055,2025-10-04,2089.43,PM02,Completed
PAY000059,ACC00056,2024-11-07,3112.74,PM01,Completed
PAY000060,ACC00057,2025-07-29,2313.56,PM01,Completed
PAY000061,ACC00058,2025-05-24,3108.14,PM02,Completed
PAY000062,ACC00059,2025-02-19,1008.03,PM02,Reversed
PAY000063,ACC00060,2025-05-31,2337.11,PM04,Completed
PAY000064,ACC00061,2025-04-14,1070.98,PM02,Completed
PAY000065,ACC00062,2025-07-03,1935.06,PM04,Completed
PAY000066,ACC00062,2025-08-21,1614.38,PM02,Completed
PAY000067,ACC00063,2024-06-19,2002.77,PM03,Completed
PAY000068,ACC00063,2024-01-11,4186.69,PM02,Completed
PAY000069,ACC00064,2024-06-16,243.47,PM02,Reversed
PAY000070,ACC00064,2025-02-13,352.97,PM02,Completed
PAY000071,ACC00064,2025-07-11,1300.68,PM01,Completed
PAY000072,ACC00065,2024-08-14,2887.02,PM01,Failed
PAY000073,ACC00067,2024-02-12,4083.28,PM02,Completed
PAY000074,ACC00068,2025-09-25,4175.37,PM02,Completed
PAY000075,ACC00069,2024-04-18,4334.19,PM02,Completed
PAY000076,ACC00069,2024-01-15,3952.1,PM01,Reversed
PAY000077,ACC00070,2024-02-18,1757.32,PM01,Completed
PAY000078,ACC00070,2025-02-03,2981.26,PM04,Completed
PAY000079,ACC00070,2025-09-02,4560.24,PM02,Completed
PAY000080,ACC00071,2025-01-31,3847.91,PM02,Completed
PAY000081,ACC00071,2024-07-15,3341.58,PM04,Reversed
PAY000082,ACC00071,2024-10-28,2538.14,PM02,Completed
PAY000083,ACC00072,2024-01-20,851.88,PM03,Completed
PAY000084,ACC00073,2024-02-05,1060.02,PM01,Completed
PAY000085,ACC00073,2025-01-16,1193.08,PM04,Completed
PAY000086,ACC00074,2024-11-06,3027.19,PM05,Completed
PAY000087,ACC00074,2024-02-14,1747.57,PM02,Completed
PAY000088,ACC00074,2025-03-08,4101.58,PM02,Failed
PAY000089,ACC00075,2024-11-04,3947.62,PM05,Completed
PAY000090,ACC00077,2024-12-18,2414.55,PM03,Completed
PAY000091,ACC00078,2025-03-11,4282.79,PM04,Completed
PAY000092,ACC00081,2025-10-12,3975.98,PM03,Completed
PAY000093,ACC00082,2024-11-10,2728.86,PM02,Completed
PAY000094,ACC00083,2024-11-29,2213.51,PM02,Completed
PAY000095,ACC00085,2024-08-25,2471.04,PM02,Completed
PAY000096,ACC00085,2024-03-24,3656.84,PM06,Completed
PAY000097,ACC00086,2024-06-19,2999.86,PM03,Failed
PAY000098,ACC00088,2024-05-10,4656.07,PM03,Failed
PAY000099,ACC00090,2025-04-28,758.77,PM01,Completed
PAY000100,ACC00090,2025-04-19,1389.96,PM02,Completed
PAY000101,ACC00091,2024-09-09,3576.21,PM03,Completed
PAY000102,ACC00092,2024-11-28,1561.11,PM01,Completed
PAY000103,ACC00093,2024-12-20,551.95,PM01,Failed
PAY000104,ACC00095,2025-05-15,379.47,PM02,Completed
PAY000105,ACC00096,2024-02-23,1848.2,PM02,Completed
PAY000106,ACC00097,2024-09-21,2384.5,PM02,Completed
PAY000107,ACC00098,2025-10-15,1522.94,PM01,Completed
PAY000108,ACC00098,2025-06-25,1514.19,PM03,Failed
PAY000109,ACC00099,2025-04-17,3526.52,PM01,Completed
PAY000110,ACC00099,2025-08-07,4244.66,PM02,Completed
PAY000111,ACC00100,2024-02-07,2694.86,PM02,Completed
PAY000112,ACC00101,2024-05-07,4375.54,PM02,Completed
PAY000113,ACC00103,2025-10-21,951.99,PM02,Completed
PAY000114,ACC00104,2025-06-09,916.66,PM02,Completed
PAY000115,ACC00104,2025-07-24,2425.6,PM01,Completed
PAY000116,ACC00104,2025-05-01,2796.52,PM01,Completed
PAY000117,ACC00106,2024-11-16,1563.36,PM01,Completed
PAY000118,ACC00107,2025-11-07,1170.81,PM01,Completed
PAY000119,ACC00108,2025-06-08,4324.21,PM01,Completed
PAY000120,ACC00108,2024-12-30,1498.06,PM02,Completed
PAY000121,ACC00109,2025-05-23,3724.42,PM01,Completed
PAY000122,ACC00109,2024-06-15,4664.11,PM02,Completed
PAY000123,ACC00110,2024-08-17,2958.92,PM01,Completed
PAY000124,ACC00110,2025-08-12,3979.64,PM02,Completed
PAY000125,ACC00110,2024-09-25,3067.48,PM06,Completed
PAY000126,ACC00111,2024-01-30,2684.72,PM03,Completed
PAY000127,ACC00112,2025-05-06,4534.31,PM01,Completed
