promise_id,account_id,agent_id,promise_date,promise_amount,due_date,promise_status
PROM000001,ACC00761,A002,2024-08-07,3779.66,2025-07-17,Pending
PROM000002,ACC00761,A010,2024-06-10,2509.44,2024-01-12,Broken
PROM000003,ACC00761,A004,2025-02-09,1827.21,2025-05-03,Fulfilled
PROM000004,ACC00132,A005,2024-07-23,3119.94,2025-10-24,Fulfilled
PROM000005,ACC00132,A007,2025-05-30,1510.23,2024-08-17,Pending
PROM000006,ACC00132,A002,2025-05-09,2359.29,2024-01-01,Broken
PROM000007,ACC00516,A006,2024-12-21,2012.5,2025-02-19,Broken
PROM000008,ACC00516,A008,2024-10-20,1965.43,2024-07-17,Broken
PROM000009,ACC00715,A004,2025-02-04,395.99,2025-04-06,Fulfilled
PROM000010,ACC00029,A006,2025-09-03,1155.13,2024-01-06,Broken
PROM000011,ACC00059,A004,2025-07-16,2902.86,2025-10-31,Broken
PROM000012,ACC00708,A007,2024-12-28,2181.82,2025-06-13,Pending
PROM000013,ACC00318,A002,2024-06-13,632.73,2024-12-04,Fulfilled
PROM000014,ACC00683,A007,2024-06-29,598.34,2025-03-08,Pending
PROM000015,ACC00079,A001,2025-05-22,2297.85,2025-06-04,Pending
PROM000016,ACC00473,A005,2024-11-09,1605.81,2024-01-15,Pending
PROM000017,ACC00496,A001,2025-09-14,259.45,2025-04-23,Broken
PROM000018,ACC00496,A001,2024-03-13,1857.9,2025-08-16,Broken
PROM000019,ACC00729,A004,2024-11-23,2560.14,2024-09-20,Fulfilled
PROM000020,ACC00034,A010,2024-10-16,1004.71,2024-09-06,Pending
PROM000021,ACC00034,A009,2025-08-10,2457.09,2025-10-13,Pending
PROM000022,ACC00651,A010,2024-04-19,1574.06,2025-08-11,Broken
PROM000023,ACC00508,A001,2024-08-12,1465.6,2024-05-26,Fulfilled
PROM000024,ACC00248,A003,2025-07-08,1498.0,2025-10-14,Fulfilled
PROM000025,ACC00277,A004,2024-03-29,3047.21,2025-08-19,Broken
PROM000026,ACC00718,A010,2024-01-15,1202.48,2025-08-14,Fulfilled
PROM000027,ACC00718,A010,2024-07-04,2536.94,2024-11-17,Broken
PROM000028,ACC00434,A003,2024-02-07,1062.92,2024-08-21,Broken
PROM000029,ACC00434,A008,2025-07-09,1617.84,2025-04-03,Broken
PROM000030,ACC00044,A009,2025-10-09,2351.23,2025-01-31,Pending
PROM000031,ACC00690,A005,2024-03-13,165.11,2024-07-25,Broken
PROM000032,ACC00255,A009,2025-09-18,1898.43,2025-04-26,Broken
PROM000033,ACC00109,A009,2024-07-18,866.56,2024-01-22,Broken
PROM000034,ACC00424,A010,2025-08-05,3503.13,2025-11-11,Fulfilled
PROM000035,ACC00101,A007,2024-01-09,1045.19,2024-07-03,Fulfilled
PROM000036,ACC00101,A006,2024-06-19,3740.28,2024-01-05,Broken
PROM000037,ACC00227,A004,2025-07-18,3317.12,2024-11-29,Fulfilled
PROM000038,ACC00680,A006,2025-04-26,1807.08,2025-06-05,Fulfilled
PROM000039,ACC00306,A003,2025-04-08,3951.4,2025-05-20,Fulfilled
PROM000040,ACC00013,A001,2025-07-26,3510.83,2025-07-19,Broken
PROM000041,ACC00013,A008,2024-03-01,1346.4,2024-06-08,Broken
